Татарчага	татарча+N+Sg+DIR(ГА);
КүРЕНЕШ	күр+V+REFL(Ын)+RECP(Ыш)+IMP_SG();күр+V+REFL(Ын)+VN_2(Ыш)+Nom;күрен+V+RECP(Ыш)+IMP_SG();күрен+V+VN_2(Ыш)+Nom;күренеш+N+Sg+Nom;
һОГВАРТС-ЭКСПРЕСС	һогвартс-экспресс+N+Sg+Nom;
АЛЬБУС	альбус+N+Sg+Nom;
тиз-тиз	тиз-тиз+Adv;
генә	генә+PART;
поезд	поезд+N+Sg+Nom;
буенча	буенча+POST;
атлый	атла+V+PRES(Й);
.	Type1
РОЗА	роза+N+Sg+Nom;
:	Type2
Мин	мин+PN;
сине	син+PN+ACC(нЫ);
эзләгән	эзлә+V+PCP_PS(ГАн);эзлә+V+PST_INDF(ГАн);
идем…	Error
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Мине	ми+N+Sg+ACC(нЫ);мин+PN+ACC(нЫ);мин+PN+POSS_3(СЫ)+Nom;
?	Type1
Нәрсәгә	нәрсә+PN+DIR(ГА);
ул	ул+N+Sg+Nom;ул+PN;
?	Type1
РОЗА	роза+N+Sg+Nom;
әйтәсе	әйт+V+OBL(ЙсЫ);
килгән	кил+V+PCP_PS(ГАн);кил+V+PST_INDF(ГАн);
сүзләрен	сүз+N+PL(ЛАр)+POSS_3(СЫ)+ACC(нЫ);
ничек	ничек+PN;
әйтергә	әйт+V+INF_1(ЫргА);
белми	бел+V+NEG(мА)+PRES(Й);
.	Type1
РОЗА	роза+N+Sg+Nom;
:	Type2
Альбус	альбус+N+Sg+Nom;
,	Type2
бу	бу+PN;
дүртенче	дүрт+Num+NUM_ORD(ЫнчЫ);
курсның	курс+N+Sg+GEN(нЫң);
башы	баш+N+Sg+POSS_3(СЫ)+Nom;
,	Type2
безнең	без+N+Sg+GEN(нЫң);без+PN+GEN(нЫң);
өчен	өчен+POST;
дә	дә+PART;
яңа	яңа+Adj;
ел	ел+N+Sg+Nom;
башлана	башла+V+REFL(Ын)+PRES(Й);башлан+V+PRES(Й);
.	Type1
Мин	мин+PN;
яңадан	яңа+Adj+Sg+ABL(ДАн);
синең	син+PN+GEN(нЫң);
белән	белән+POST;
дус	дус+N+Sg+Nom;
булырга	бул+V+INF_1(ЫргА);
телим	тел+V+HOR_SG(Йм);телә+V+HOR_SG(Йм);телә+V+PRES(Й)+1SG(м);
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Без	без+N+Sg+Nom;без+PN;
беркайчан	беркайчан+Adv;
да	да+PART;
дус	дус+N+Sg+Nom;
булмадык	бул+V+NEG(мА)+PST_DEF(ДЫ)+1PL(к);
.	Type1
РОЗА	роза+N+Sg+Nom;
:	Type2
Нинди	нинди+PN;
тупас	тупас+Adj;
сүз	сүз+N+Sg+Nom;
!	Type1
Миңа	мин+PN+DIR(ГА);
алты	алты+Num;
яшь	яшь+Adj;яшь+N+Sg+Nom;
булганда	бул+V+PCP_PS(ГАн)+LOC(ДА);
,	Type2
без	без+N+Sg+Nom;без+PN;
иң	иң+N+Sg+Nom;иң+PART;иң+V+IMP_SG();
якын	якын+Adj;якын+Adv;якын+POST;
дуслар	дус+N+PL(ЛАр)+Nom;
идек	и+V+PST_DEF(ДЫ)+1PL(к);
!	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Бу	бу+PN;
бик	бик+Adv;
күптән	күп+Adj+Sg+ABL(ДАн);
иде	и+V+PST_DEF(ДЫ);
.	Type1
Ул	ул+N+Sg+Nom;ул+PN;
китмәкче	кит+V+DESID(мАкчЫ);
була	бул+V+PRES(Й);
.	Type1
РОЗА	роза+N+Sg+Nom;
аны	ул+PN+ACC(нЫ);
буш	буш+Adj;
купега	купе+N+Sg+DIR(ГА);
этеп	эт+V+ADVV_ACC(Ып);
кертә	кер+V+CAUS(т)+PRES(Й);керт+V+PRES(Й);
.	Type1
РОЗА	роза+N+Sg+Nom;
:	Type2
Син	син+PN;
ишеттеңме	ишет+V+PST_DEF(ДЫ)+2SG(ң)+INT(мЫ);
әле	әле+CNJ;әле+PART;
нинди	нинди+PN;
сүзләр	сүз+N+PL(ЛАр)+Nom;
йөргәнен	йөр+V+PCP_PS(ГАн)+POSS_3(СЫ)+ACC(нЫ);
?	Type1
Министрлык	министрлык+N+Sg+Nom;
берничә	берничә+PN;
көн	көн+N+Sg+Nom;
элек	элек+Adv;элек+POST;
зур	зур+Adj;
рейд	рейд+N+Sg+Nom;
оештырган	ое+V+RAR_2(ЫштЫр)+PCP_PS(ГАн);ое+V+RAR_2(ЫштЫр)+PST_INDF(ГАн);ое+V+RECP(Ыш)+CAUS(ДЫр)+PCP_PS(ГАн);ое+V+RECP(Ыш)+CAUS(ДЫр)+PST_INDF(ГАн);оеш+V+CAUS(ДЫр)+PCP_PS(ГАн);оеш+V+CAUS(ДЫр)+PST_INDF(ГАн);оештыр+V+PCP_PS(ГАн);оештыр+V+PST_INDF(ГАн);
ди	ди+V+PRES(Й);
.	Type1
Синең	син+PN+GEN(нЫң);
әтиең	әти+N+Sg+POSS_2SG(Ың)+Nom;
искитмәле	искитмәле+Adv;
батыр	бат+V+FUT_INDF(Ыр);бат+V+PCP_FUT(Ыр);батыр+N+Sg+Nom;батыр+V+IMP_SG();
булган	бул+V+PCP_PS(ГАн);бул+V+PST_INDF(ГАн);
ахрысы	ахрысы+PART;
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Ничек	ничек+PN;
син	син+PN;
гел	гел+Adv;
моның	бу+PN+GEN(нЫң);
ише	иш+N+Sg+POSS_3(СЫ)+Nom;
нәрсәләр	нәрсә+PN+PL(ЛАр)+Nom;
турында	тур+N+Sg+POSS_3(СЫ)+LOC(ДА);турында+POST;
беләсең	бел+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;бел+V+PRES(Й)+2SG(сЫң);
,	Type2
ә	ә+PART;
мин	мин+PN;
беркайчан	беркайчан+Adv;
да	да+PART;
белмим	бел+V+NEG(мА)+HOR_SG(Йм);бел+V+NEG(мА)+PRES(Й)+1SG(м);
?	Type1
РОЗА	роза+N+Sg+Nom;
:	Type2
Ул	ул+N+Sg+Nom;ул+PN;
кеше	кеше+N+Sg+Nom;
–	Type2
ягъни	ягъни+CNJ;
әтиең	әти+N+Sg+POSS_2SG(Ың)+Nom;
тикшергән	тикшер+V+PCP_PS(ГАн);тикшер+V+PST_INDF(ГАн);
тылсымчы	тылсым+N+PROF(чЫ)+Sg+Nom;
,	Type2
Теодор	Rus
Нотт	нотт+N+Sg+Nom;
,	Type2
миңа	мин+PN+DIR(ГА);
калса	кал+V+COND(сА);
,	Type2
барлык	бар+N+NMLZ(лЫк)+Sg+Nom;бар+N+PSBL(лЫк);барлык+PN;
кануннарны	канун+N+PL(ЛАр)+ACC(нЫ);
боза	боз+V+PRES(Й);
торган	тор+V+PCP_PS(ГАн);тор+V+PST_INDF(ГАн);
әллә	әллә+CNJ;әллә+PART;
нинди	нинди+PN;
тылсымлы	тылсым+N+ATTR_MUN(лЫ);
әйберләр	әйбер+N+PL(ЛАр)+Nom;әйберлә+V+FUT_INDF(Ыр);әйберлә+V+PCP_FUT(Ыр);
белән	белән+POST;
эш	эш+N+Sg+Nom;
иткән	и+V+CAUS(т)+PCP_PS(ГАн);и+V+CAUS(т)+PST_INDF(ГАн);ит+V+PCP_PS(ГАн);ит+V+PST_INDF(ГАн);
булса	бул+V+COND(сА);
кирәк	кирәк+MOD;
,	Type2
һәм	һәм+CNJ;
,	Type2
шул	шул+PART;шул+PN;
исәптән	исәп+N+Sg+ABL(ДАн);
,	Type2
министрлык	министрлык+N+Sg+Nom;
кешеләренең	кеше+N+PL(ЛАр)+POSS_3(СЫ)+GEN(нЫң);
баш	баш+N+Sg+Nom;
бәласенә	бәласенә+N+Sg+Nom;
әйләнгән	әйлән+V+PCP_PS(ГАн);әйлән+V+PST_INDF(ГАн);
канунсыз	канун+N+ATTR_ABES(сЫз)+Sg+Nom;канун+N+Sg+2PL(сЫз);
Вакыт-күчергеч	вакыт-күчергеч+N+Sg+Nom;
тә	тә+PART;
булган	бул+V+PCP_PS(ГАн);бул+V+PST_INDF(ГАн);
анда	анда+PN;ул+PN+LOC(ДА);
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
РОЗАга	роза+N+Sg+DIR(ГА);
карап	кара+V+ADVV_ACC(Ып);
тора	тор+V+PRES(Й);
,	Type2
хәзер	хәзер+Adv;
ул	ул+N+Sg+Nom;ул+PN;
барын	бар+N+Sg+POSS_3(СЫ)+ACC(нЫ);бар+PN+POSS_3(СЫ)+ACC(нЫ);бар+V+REFL(Ын)+IMP_SG();
да	да+PART;
аңлый	аңла+V+PRES(Й);
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Вакыт-күчергеч	вакыт-күчергеч+N+Sg+Nom;
?	Type1
әти	әти+N+Sg+Nom;
Вакыт-күчергеч	вакыт-күчергеч+N+Sg+Nom;
тапканмы	тап+V+PCP_PS(ГАн)+INT(мЫ);тап+V+PST_INDF(ГАн)+INT(мЫ);
?	Type1
РОЗА	роза+N+Sg+Nom;
:	Type2
Тсс	Rus
!	Type1
әйе	әйе+MOD;
.	Type1
Мин	мин+PN;
беләм	бел+V+PRES(Й)+1SG(м);
.	Type1
Шәп	шәп+Adj;
,	Type2
әйе	әйе+MOD;
бит	бит+N+Sg+Nom;бит+PART;
?	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
һәм	һәм+CNJ;
син	син+PN;
шикләнмисең	шиклән+V+NEG(мА)+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;шиклән+V+NEG(мА)+PRES(Й)+2SG(сЫң);
дә	дә+PART;
?	Type1
РОЗА	роза+N+Sg+Nom;
:	Type2
һичкенә	һичкенә+N+Sg+Nom;
дә	дә+PART;
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Миңа	мин+PN+DIR(ГА);
Скорпиусны	скорпиусн+N+Sg+POSS_3(СЫ)+Nom;скорпиус+N+Sg+ACC(нЫ);
табарга	тап+V+INF_1(ЫргА);
кирәк	кирәк+MOD;
.	Type1
37	Num
Ул	ул+N+Sg+Nom;ул+PN;
поездның	поезд+N+Sg+GEN(нЫң);
икенче	ике+Num+NUM_ORD(ЫнчЫ);
башына	баш+N+Sg+POSS_3(СЫ)+DIR(ГА);
юнәлә	юнәл+V+PRES(Й);
.	Type1
РОЗА	роза+N+Sg+Nom;
аңа	ул+PN+DIR(ГА);
иярә	иярә+N+Sg+Nom;
,	Type2
һаман	һаман+Adv;
да	да+PART;
аңа	ул+PN+DIR(ГА);
үз	үз+PN;
сүзен	сүз+N+Sg+POSS_3(СЫ)+ACC(нЫ);
әйтергә	әйт+V+INF_1(ЫргА);
өметләнә	өметлән+V+PRES(Й);
.	Type1
РОЗА	роза+N+Sg+Nom;
:	Type2
Альбус	альбус+N+Sg+Nom;
!	Type1
АЛЬБУС	альбус+N+Sg+Nom;
кинәт	кинәт+Adv;
кенә	кенә+PART;
борыла	бор+V+PASS(Ыл)+PRES(Й);борыл+V+PRES(Й);
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Кем	кем+PN;
сиңа	син+PN+DIR(ГА);
минем	мин+PN+GEN(нЫң);
белән	белән+POST;
сөйләшергә	сөйлә+V+RECP(Ыш)+INF_1(ЫргА);
кушты	куш+V+PST_DEF(ДЫ);
?	Type1
РОЗА	роза+N+Sg+Nom;
(	Type3
сискәнеп	сискән+V+ADVV_ACC(Ып);
китә	ки+V+CAUS(т)+PRES(Й);кит+V+PRES(Й);
)	Type3
:	Type2
Ярый	яра+V+PRES(Й);ярый+MOD;
,	Type2
бәлки	бәлки+CNJ;
,	Type2
әниең	әни+N+Sg+POSS_2SG(Ың)+Nom;
минем	мин+PN+GEN(нЫң);
әтигә	әти+N+Sg+DIR(ГА);
ябалак	ябалак+N+Sg+Nom;
җибәргәндер	җибәр+V+PCP_PS(ГАн)+3SG(ДЫр);җибәр+V+PCP_PS(ГАн)+PROB(ДЫр);җибәр+V+PST_INDF(ГАн)+PROB(ДЫр);
дә	дә+PART;
,	Type2
ләкин	ләкин+CNJ;
бары	бар+N+Sg+POSS_3(СЫ)+Nom;бар+PN+POSS_3(СЫ)+Nom;бары+CNJ;бары+PN;
синең	син+PN+GEN(нЫң);
өчен	өчен+POST;
борчылганга	борчы+V+PASS(Ыл)+PCP_PS(ГАн)+DIR(ГА);борчыл+V+PCP_PS(ГАн)+DIR(ГА);
күрә	күр+V+PRES(Й);күрә+POST;
генә	генә+PART;
.	Type1
һәм	һәм+CNJ;
мин	мин+PN;
уйлыйм…	Error
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Бәйләнмә	бәйлә+V+REFL(Ын)+NEG(мА)+IMP_SG();бәйлән+V+NEG(мА)+IMP_SG();
миңа	мин+PN+DIR(ГА);
,	Type2
Роза	роза+N+Sg+Nom;
.	Type1
СКОРПИУС	скорпиус+N+Sg+Nom;
гадәттә	гадәт+N+Sg+LOC(ДА);гадәттә+MOD;
утыра	утыр+V+PRES(Й);
торган	тор+V+PCP_PS(ГАн);тор+V+PST_INDF(ГАн);
купеда	купе+N+Sg+LOC(ДА);
утыра	утыр+V+PRES(Й);
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
беренче	бер+Num+NUM_ORD(ЫнчЫ);
булып	бул+V+ADVV_ACC(Ып);
керә	кер+V+PRES(Й);
,	Type2
РОЗА	роза+N+Sg+Nom;
һаман	һаман+Adv;
аңа	ул+PN+DIR(ГА);
ияргән	ияр+V+PCP_PS(ГАн);ияр+V+PST_INDF(ГАн);
.	Type1
СКОРПИУС	скорпиус+N+Sg+Nom;
:	Type2
Альбус	альбус+N+Sg+Nom;
!	Type1
О	о+INTRJ;
,	Type2
сәлам	сәлам+INTRJ;сәлам+N+Sg+Nom;
,	Type2
Роза	роза+N+Sg+Nom;
,	Type2
нинди	нинди+PN;
тәм	тәм+N+Sg+Nom;
килә	кил+V+PRES(Й);
синнән	син+PN+ABL(ДАн);
?	Type1
РОЗА	роза+N+Sg+Nom;
:	Type2
Нинди	нинди+PN;
тәм	тәм+N+Sg+Nom;
инде	инде+PART;
тагын	тагын+Adv;
?	Type1
СКОРПИУС	скорпиус+N+Sg+Nom;
:	Type2
Юк	юк+MOD;
,	Type2
мин	мин+PN;
хуш	хуш+Adj;хуш+INTRJ;
ис	ис+N+Sg+Nom;ис+V+IMP_SG();
димен	дим+PROP+POSS_3(СЫ)+ACC(нЫ);
,	Type2
синнән	син+PN+ABL(ДАн);
саф	саф+Adj;
чәчәкләр	чәчәк+N+PL(ЛАр)+Nom;
һәм	һәм+CNJ;
яңа	яңа+Adj;
пешкән	пеш+V+PCP_PS(ГАн);пеш+V+PST_INDF(ГАн);
икмәк	икмәк+N+Sg+Nom;
тәме	тә+PART+INT(мЫ);тәм+N+Sg+POSS_3(СЫ)+Nom;
килә	кил+V+PRES(Й);
.	Type1
РОЗА	роза+N+Sg+Nom;
:	Type2
Альбус	альбус+N+Sg+Nom;
,	Type2
мин	мин+PN;
монда	бу+PN+LOC(ДА);монда+Adv;
,	Type2
ярыймы	яра+V+PRES(Й)+INT(мЫ);ярый+MOD+INT(мЫ);
?	Type1
әгәр	әгәр+CNJ;
кирәгем	кирәк+Adj+Sg+POSS_1SG(Ым)+Nom;
чыкса	чык+V+COND(сА);
.	Type1
СКОРПИУС	скорпиус+N+Sg+Nom;
:	Type2
Мин	мин+PN;
әйтәм	әйт+V+PRES(Й)+1SG(м);
,	Type2
матур	матур+Adj;
икмәк	икмәк+N+Sg+Nom;
,	Type2
яхшы	яхшы+Adj;яхшы+Adv;
икмәк	икмәк+N+Sg+Nom;
,	Type2
икмәк…	Error
нәрсә	нәрсә+PN;
булган	бул+V+PCP_PS(ГАн);бул+V+PST_INDF(ГАн);
икмәккә	икмәк+N+Sg+DIR(ГА);
?	Type1
РОЗА	роза+N+Sg+Nom;
башын	баш+N+Sg+POSS_3(СЫ)+ACC(нЫ);
кагып	как+V+ADVV_ACC(Ып);
чыгып	чык+V+ADVV_ACC(Ып);
китә	ки+V+CAUS(т)+PRES(Й);кит+V+PRES(Й);
.	Type1
РОЗА	роза+N+Sg+Nom;
:	Type2
Нәрсә	нәрсә+PN;
булган	бул+V+PCP_PS(ГАн);бул+V+PST_INDF(ГАн);
икмәккә	икмәк+N+Sg+DIR(ГА);
!	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Мин	мин+PN;
сине	син+PN+ACC(нЫ);
бөтен	бөтен+PN;
җирдән	җир+N+Sg+ABL(ДАн);
эзләп	эз+N+DISTR(лАп);эзлә+V+ADVV_ACC(Ып);
чыктым…	Error
СКОРПИУС	скорпиус+N+Sg+Nom;
:	Type2
һәм	һәм+CNJ;
хәзер	хәзер+Adv;
син	син+PN;
мине	ми+N+Sg+ACC(нЫ);мин+PN+ACC(нЫ);мин+PN+POSS_3(СЫ)+Nom;
таптың	тап+V+PST_DEF(ДЫ)+2SG(ң);
.	Type1
Та-да	та-+N+Sg+Nom+PART(ДА);та-+N+Sg+LOC(ДА);
!	Type1
Мин	мин+PN;
качмадым	кач+V+NEG(мА)+PST_DEF(ДЫ)+1SG(м);
да	да+PART;
инде	инде+PART;
алай	алай+PN;
.	Type1
Син	син+PN;
беләсең	бел+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;бел+V+PRES(Й)+2SG(сЫң);
бит	бит+N+Sg+Nom;бит+PART;
инде	инде+PART;
,	Type2
мин	мин+PN;
иртәрәк	иртә+Adv+COMP(рАк)+Sg+Nom;
кузгалырга	кузгал+V+INF_1(ЫргА);
яратам	яра+V+CAUS(т)+HOR_SG(Йм);яра+V+CAUS(т)+PRES(Й)+1SG(м);ярат+V+PRES(Й)+1SG(м);
.	Type1
Кешеләр	кеше+N+PL(ЛАр)+Nom;
миңа	мин+PN+DIR(ГА);
караудан	кара+V+VN_1(у/ү/в)+ABL(ДАн);
туктасын	тукта+V+JUS_SG(сЫн);
өчен	өчен+POST;
.	Type1
Кычкырмасыннар	кычкыр+V+NEG(мА)+JUS_PL(сЫннАр);
өчен	өчен+POST;
.	Type1
Чемоданга	чемодан+N+Sg+DIR(ГА);
«	Type4
Волдеморт	волдеморт+N+Sg+Nom;
малае	малай+N+Sg+POSS_3(СЫ)+Nom;
»	Type4
дип	ди+V+ADVV_ACC(Ып);
язмасыннар	яз+V+NEG(мА)+JUS_PL(сЫннАр);
өчен	өчен+POST;
.	Type1
Бу	бу+PN;
гайбәт	гайбәт+N+Sg+Nom;
беркайчан	беркайчан+Adv;
да	да+PART;
модадан	мода+N+Sg+ABL(ДАн);
чыкмас	чык+V+FUT_INDF_NEG(мАс);чык+V+PCP_FUT(мАс);
инде	инде+PART;
.	Type1
Ул	ул+N+Sg+Nom;ул+PN;
бит	бит+N+Sg+Nom;бит+PART;
мине	ми+N+Sg+ACC(нЫ);мин+PN+ACC(нЫ);мин+PN+POSS_3(СЫ)+Nom;
яратмый	яра+V+CAUS(т)+NEG(мА)+PRES(Й);ярат+V+NEG(мА)+PRES(Й);
,	Type2
шулай	шулай+PN;
бит	бит+N+Sg+Nom;бит+PART;
?	Type1
АЛЬБУС	альбус+N+Sg+Nom;
дустын	дуст+N+Sg+POSS_3(СЫ)+ACC(нЫ);
кочаклый	кочакла+V+PRES(Й);
.	Type1
Кысып	кыс+V+ADVV_ACC(Ып);
кочаклый	кочакла+V+PRES(Й);
.	Type1
Ул	ул+N+Sg+Nom;ул+PN;
шулай	шулай+PN;
бер	бер+Num;бер+PN;
секунд	секунд+N+Sg+Nom;
тора	тор+V+PRES(Й);
.	Type1
СКОРПИУС	скорпиус+N+Sg+Nom;
моңа	моңа+PN;
бик	бик+Adv;
гаҗәпләнә	гаҗәплән+V+PRES(Й);
.	Type1
Ярар	яр+V+PCP_FUT(Ыр);яра+V+FUT_INDF(Ыр);яра+V+PCP_FUT(Ыр);ярар+MOD;
.	Type1
Сәлам	сәлам+INTRJ;сәлам+N+Sg+Nom;
.	Type1
Мм…	Error
Безнең	без+N+Sg+GEN(нЫң);без+PN+GEN(нЫң);
элек	элек+Adv;элек+POST;
кочаклашкан	кочакла+V+RECP(Ыш)+PCP_PS(ГАн);кочакла+V+RECP(Ыш)+PST_INDF(ГАн);
бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
идеме	и+V+PST_DEF(ДЫ)+INT(мЫ);
?	Type1
Малайлар	малай+N+PL(ЛАр)+Nom;
бер-берсеннән	бер-берсе+PN+POSS_3(СЫ)+ABL(ДАн);
аерыла	аер+V+PASS(Ыл)+PRES(Й);аерыл+V+PRES(Й);
,	Type2
аларга	алар+PN+DIR(ГА);
уңайсыз	уңай+Adj+2PL(сЫз);уңай+Adj+ATTR_ABES(сЫз)+Sg+Nom;уңай+Adj+Sg+ATTR_ABES(сЫз)+Sg+Nom;
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Соңгы	соңгы+Adj;
егерме	егерме+Num;
дүрт	дүрт+Num;
сәгатем	сәгать+N+Sg+POSS_1SG(Ым)+Nom;
бераз	бераз+Adv;
сәеррәк	сәер+Adj+COMP(рАк)+Sg+Nom;
булды	бул+V+PST_DEF(ДЫ);
,	Type2
шуңа	шул+PN+DIR(ГА);
гына…	Error
СКОРПИУС	скорпиус+N+Sg+Nom;
:	Type2
ә	ә+PART;
нәрсә	нәрсә+PN;
булды	бул+V+PST_DEF(ДЫ);
шул	шул+PART;шул+PN;
арада	ара+N+Sg+LOC(ДА);арада+POST;
?	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Соңрак	соң+Adv+COMP(рАк)+Sg+Nom;соңрак+Adv;
аңлатырмын	аңла+V+CAUS(т)+FUT_INDF(Ыр)+1SG(мЫн);аңла+V+CAUS(т)+PCP_FUT(Ыр)+1SG(мЫн);аңлат+V+FUT_INDF(Ыр)+1SG(мЫн);аңлат+V+PCP_FUT(Ыр)+1SG(мЫн);
.	Type1
Безгә	без+PN+DIR(ГА);
поезддан	поезд+N+Sg+ABL(ДАн);
чыгарга	чык+V+INF_1(ЫргА);
кирәк	кирәк+MOD;
.	Type1
38	Num
Тыштан	тыш+N+Sg+ABL(ДАн);
поезд	поезд+N+Sg+Nom;
сызгырткан	сызгыр+V+CAUS(т)+PCP_PS(ГАн);сызгыр+V+CAUS(т)+PST_INDF(ГАн);сызгырт+V+PCP_PS(ГАн);сызгырт+V+PST_INDF(ГАн);
тавыш	тавыш+N+Sg+Nom;
ишетелә	ишет+V+PASS(Ыл)+PRES(Й);ишетел+V+PRES(Й);
.	Type1
Поезд	поезд+N+Sg+Nom;
хәрәкәтләнә	хәрәкәтлән+V+PRES(Й);
башлый	башла+V+PRES(Й);
.	Type1
СКОРПИУС	скорпиус+N+Sg+Nom;
:	Type2
Соң	соң+Adv;соң+N+Sg+Nom;соң+PART;соң+POST;
инде	инде+PART;
.	Type1
Поезд	поезд+N+Sg+Nom;
кузгалды	кузгал+V+PST_DEF(ДЫ);
.	Type1
һогвартс	һогвартс+N+Sg+Nom;
,	Type2
көт	көт+V+IMP_SG();
безне	без+PN+ACC(нЫ);
!	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Алайса	алайса+MOD;
безгә	без+PN+DIR(ГА);
барган	бар+V+PCP_PS(ГАн);бар+V+PST_INDF(ГАн);
поезддан	поезд+N+Sg+ABL(ДАн);
чыгарга	чык+V+INF_1(ЫргА);
кирәк	кирәк+MOD;
булачак	бул+V+FUT_DEF(АчАк);бул+V+PCP_FUT(АчАк);
.	Type1
АРБАЛЫ	арба+N+ATTR_MUN(лЫ);
КАРЧЫК	карчык+N+Sg+Nom;
:	Type2
Арбадан	арба+N+Sg+ABL(ДАн);
тәм-том	тәм-том+N+Sg+Nom;
аласызмы	ал+V+PRES(Й)+2PL(сЫз)+INT(мЫ);ала+Adj+2PL(сЫз)+INT(мЫ);ала+Adj+ATTR_ABES(сЫз)+Sg+Nom+INT(мЫ);ала+Adj+Sg+ATTR_ABES(сЫз)+Sg+Nom+INT(мЫ);
,	Type2
балакайлар	бала+N+AFC(кАй)+PL(ЛАр)+Nom;балакай+N+PL(ЛАр)+Nom;
?	Type1
АЛЬБУС	альбус+N+Sg+Nom;
тәрәзәне	тәрәзә+N+Sg+ACC(нЫ);
ача	ач+V+PRES(Й);
һәм	һәм+CNJ;
тышка	тыш+N+Sg+DIR(ГА);
сузылып	суз+V+PASS(Ыл)+ADVV_ACC(Ып);сузыл+V+ADVV_ACC(Ып);
карый	кара+V+PRES(Й);карый+N+Sg+Nom;
.	Type1
СКОРПИУС	скорпиус+N+Sg+Nom;
:	Type2
Кузгалып	кузгал+V+ADVV_ACC(Ып);
киткән	ки+V+CAUS(т)+PCP_PS(ГАн);ки+V+CAUS(т)+PST_INDF(ГАн);кит+V+PCP_PS(ГАн);кит+V+PST_INDF(ГАн);
тылсымлы	тылсым+N+ATTR_MUN(лЫ);
поезд	поезд+N+Sg+Nom;
бирегез	бир+V+IMP_PL(ЫгЫз);
безгә	без+PN+DIR(ГА);
.	Type1
АРБАЛЫ	арба+N+ATTR_MUN(лЫ);
КАРЧЫК	карчык+N+Sg+Nom;
:	Type2
Кабак	кабак+N+Sg+Nom;
бәлеше	бәлеш+N+Sg+POSS_3(СЫ)+Nom;
?	Type1
Татлы	тат+N+ATTR_MUN(лЫ);татлы+Adj;
казан	казан+N+Sg+Nom;казан+PROP+Sg+Nom;казан+V+IMP_SG();
?	Type1
СКОРПИУС	скорпиус+N+Sg+Nom;
:	Type2
Альбус	альбус+N+Sg+Nom;
Северус	северус+N+Sg+Nom;
Поттер	Rus
,	Type2
бу	бу+PN;
сәер	сәер+Adj;
чыраеңны	чырай+N+Sg+POSS_2SG(Ың)+ACC(нЫ);
салып	сал+V+ADVV_ACC(Ып);
,	Type2
нормаль	нормаль+Adj;
хәлгә	хәл+N+Sg+DIR(ГА);
кайт	кайт+V+IMP_SG();
әле	әле+CNJ;әле+PART;
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Беренче	бер+Num+NUM_ORD(ЫнчЫ);
сорау	сора+V+VN_1(у/ү/в)+Nom;сорау+N+Sg+Nom;
.	Type1
Син	син+PN;
өч	өч+Num;
тылсымчы	тылсым+N+PROF(чЫ)+Sg+Nom;
бәйгесе	бәйге+N+Sg+POSS_3(СЫ)+Nom;
турында	тур+N+Sg+POSS_3(СЫ)+LOC(ДА);турында+POST;
нәрсәләр	нәрсә+PN+PL(ЛАр)+Nom;
беләсең	бел+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;бел+V+PRES(Й)+2SG(сЫң);
?	Type1
СКОРПИУС	скорпиус+N+Sg+Nom;
(	Type3
бәхетле	бәхет+N+ATTR_MUN(лЫ);
)	Type3
:	Type2
Ооо	Rus
,	Type2
ярышмы	яр+V+RECP(Ыш)+INT(мЫ);яр+V+VN_2(Ыш)+INT(мЫ);
!	Type1
өч	өч+Num;
мәктәп	мәктәп+N+Sg+Nom;
өч	өч+Num;
чемпионны	чемпион+N+Sg+ACC(нЫ);
сайлап	сай+Adj+DISTR(лАп);сайла+V+ADVV_ACC(Ып);
,	Type2
өч	өч+Num;
сынауга	сына+V+VN_1(у/ү/в)+DIR(ГА);
җибәрә	җибәр+V+PRES(Й);
–	Type2
бер	бер+Num;бер+PN;
Кадәх	кадәх+N+Sg+Nom;
2	Num
өчен	өчен+POST;
.	Type1
Ник	ник+PN;
сорыйсың	сора+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;сора+V+PRES(Й)+2SG(сЫң);
әле	әле+CNJ;әле+PART;
моны	бу+PN+ACC(нЫ);
